name,hash
MISW_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,5216486b01616ed09a9b84727d6e4cf1681c49bd15c3348fd6ac6d201109ce14
MISW_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,1ad4afe18bf7d6e328b3b37f8cdf696028e3c0971c06e96c6f1fd566393a8cbe
MISW_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,31971957b0c7553398821ee5b0335685d04c90c4335c577a7bb3086da3bcbf5f
NWPP_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_min_capacity_100000_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,093b600184b6d0880b7e34b70450751efc5fc806878f8524013e59f023c36ec2
NWPP_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,a17dd9b16ac88aa4df4b86fda888237e16fbde480795906a9f979ed22d9d806f
NWPP_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,a815b1e1fc6b89b0bf821aa1dd0bc261578963d9afa096ee996933b4d689ffe2
NWPP_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,52bb05bde1d93fa2826ea4219b83adae141ee4d7ec9ed1613dc2288b7aa3108a
NWPP_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,ec47341f44cfb491f16e75c3a0b7eb55a08bcd18b07f79f300019d357d91d99a
NWPP_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,4f73bd669bd02174aac6ea0ef2ab8320bd7319905f082a05f432ffbf15e9d857
NYCW_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_80_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,c04d2fa0d395bf2ae5fc97efd4f5e5bf907ea95c1bf13e8182950052914e0444
NYCW_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_100000_filter_feature_lcoe_max_40_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,68a64e0bd66ba5bc358540f8d28682b7ed41361e0a76ce591a4b46c0a35da46c
NYCW_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,08f6d872982712482733b2874d0a65c048a0caabc30440b10b67ffe522d052df
